,Features
32,"{'danceability': 0.508, 'energy': 0.466, 'key': 11, 'loudness': -11.504, 'mode': 1, 'speechiness': 0.035, 'acousticness': 0.923, 'instrumentalness': 0.169, 'liveness': 0.622, 'valence': 0.0768, 'tempo': 119.952, 'type': 'audio_features', 'id': '4lGb7vjGqK8OZhXRozj0Go', 'uri': 'spotify:track:4lGb7vjGqK8OZhXRozj0Go', 'track_href': 'https://api.spotify.com/v1/tracks/4lGb7vjGqK8OZhXRozj0Go', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4lGb7vjGqK8OZhXRozj0Go', 'duration_ms': 250200, 'time_signature': 4}"
33,"{'danceability': 0.499, 'energy': 0.809, 'key': 11, 'loudness': -5.132, 'mode': 1, 'speechiness': 0.206, 'acousticness': 0.00123, 'instrumentalness': 0, 'liveness': 0.0707, 'valence': 0.808, 'tempo': 176.11, 'type': 'audio_features', 'id': '1p5fFes80K9IPnZFqNca53', 'uri': 'spotify:track:1p5fFes80K9IPnZFqNca53', 'track_href': 'https://api.spotify.com/v1/tracks/1p5fFes80K9IPnZFqNca53', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1p5fFes80K9IPnZFqNca53', 'duration_ms': 145267, 'time_signature': 4}"
34,"{'danceability': 0.573, 'energy': 0.642, 'key': 8, 'loudness': -7.239, 'mode': 1, 'speechiness': 0.0279, 'acousticness': 0.0734, 'instrumentalness': 0.0232, 'liveness': 0.105, 'valence': 0.49, 'tempo': 120.753, 'type': 'audio_features', 'id': '37EmPMVwdBaKs7UhJOkHUU', 'uri': 'spotify:track:37EmPMVwdBaKs7UhJOkHUU', 'track_href': 'https://api.spotify.com/v1/tracks/37EmPMVwdBaKs7UhJOkHUU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/37EmPMVwdBaKs7UhJOkHUU', 'duration_ms': 301400, 'time_signature': 4}"
35,"{'danceability': 0.39, 'energy': 0.344, 'key': 1, 'loudness': -7.804, 'mode': 1, 'speechiness': 0.0376, 'acousticness': 0.082, 'instrumentalness': 0.000141, 'liveness': 0.0715, 'valence': 0.244, 'tempo': 178.102, 'type': 'audio_features', 'id': '06wTEKL2rSrSaOjFtgG8fj', 'uri': 'spotify:track:06wTEKL2rSrSaOjFtgG8fj', 'track_href': 'https://api.spotify.com/v1/tracks/06wTEKL2rSrSaOjFtgG8fj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/06wTEKL2rSrSaOjFtgG8fj', 'duration_ms': 319933, 'time_signature': 4}"
36,"{'danceability': 0.81, 'energy': 0.957, 'key': 1, 'loudness': -6.049, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.0165, 'instrumentalness': 0.284, 'liveness': 0.248, 'valence': 0.962, 'tempo': 129.985, 'type': 'audio_features', 'id': '2RSOzvKUnfDDrb2nQPfpQU', 'uri': 'spotify:track:2RSOzvKUnfDDrb2nQPfpQU', 'track_href': 'https://api.spotify.com/v1/tracks/2RSOzvKUnfDDrb2nQPfpQU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2RSOzvKUnfDDrb2nQPfpQU', 'duration_ms': 197773, 'time_signature': 4}"
37,"{'danceability': 0.338, 'energy': 0.461, 'key': 9, 'loudness': -10.74, 'mode': 0, 'speechiness': 0.0396, 'acousticness': 0.17, 'instrumentalness': 0.564, 'liveness': 0.0927, 'valence': 0.351, 'tempo': 126.698, 'type': 'audio_features', 'id': '5TrfusgKC1BYic5LaWCoKm', 'uri': 'spotify:track:5TrfusgKC1BYic5LaWCoKm', 'track_href': 'https://api.spotify.com/v1/tracks/5TrfusgKC1BYic5LaWCoKm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5TrfusgKC1BYic5LaWCoKm', 'duration_ms': 620373, 'time_signature': 4}"
38,"{'danceability': 0.663, 'energy': 0.475, 'key': 1, 'loudness': -8.834, 'mode': 1, 'speechiness': 0.0417, 'acousticness': 0.643, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.644, 'tempo': 143.175, 'type': 'audio_features', 'id': '4fXGWiVhlOLdhwRDP6pIFG', 'uri': 'spotify:track:4fXGWiVhlOLdhwRDP6pIFG', 'track_href': 'https://api.spotify.com/v1/tracks/4fXGWiVhlOLdhwRDP6pIFG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4fXGWiVhlOLdhwRDP6pIFG', 'duration_ms': 191027, 'time_signature': 4}"
39,"{'danceability': 0.597, 'energy': 0.848, 'key': 0, 'loudness': -5.841, 'mode': 1, 'speechiness': 0.0308, 'acousticness': 0.0372, 'instrumentalness': 2.33e-05, 'liveness': 0.122, 'valence': 0.437, 'tempo': 128.009, 'type': 'audio_features', 'id': '5fgb3Md1xjt3mxeBqguiIA', 'uri': 'spotify:track:5fgb3Md1xjt3mxeBqguiIA', 'track_href': 'https://api.spotify.com/v1/tracks/5fgb3Md1xjt3mxeBqguiIA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fgb3Md1xjt3mxeBqguiIA', 'duration_ms': 214080, 'time_signature': 4}"
40,"{'danceability': 0.456, 'energy': 0.024, 'key': 5, 'loudness': -22.89, 'mode': 1, 'speechiness': 0.0467, 'acousticness': 0.995, 'instrumentalness': 0.956, 'liveness': 0.112, 'valence': 0.22, 'tempo': 135.274, 'type': 'audio_features', 'id': '1e3JUGxqyfe94XBFnWdP11', 'uri': 'spotify:track:1e3JUGxqyfe94XBFnWdP11', 'track_href': 'https://api.spotify.com/v1/tracks/1e3JUGxqyfe94XBFnWdP11', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1e3JUGxqyfe94XBFnWdP11', 'duration_ms': 120549, 'time_signature': 4}"
41,"{'danceability': 0.482, 'energy': 0.559, 'key': 5, 'loudness': -5.454, 'mode': 1, 'speechiness': 0.0296, 'acousticness': 0.541, 'instrumentalness': 0.00273, 'liveness': 0.223, 'valence': 0.597, 'tempo': 80.777, 'type': 'audio_features', 'id': '1Bw45KRmdKpX2pkIADDP0B', 'uri': 'spotify:track:1Bw45KRmdKpX2pkIADDP0B', 'track_href': 'https://api.spotify.com/v1/tracks/1Bw45KRmdKpX2pkIADDP0B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Bw45KRmdKpX2pkIADDP0B', 'duration_ms': 221600, 'time_signature': 4}"
