,Features
42,"{'danceability': 0.439, 'energy': 0.422, 'key': 8, 'loudness': -17.227, 'mode': 1, 'speechiness': 0.0409, 'acousticness': 0.0148, 'instrumentalness': 4.84e-05, 'liveness': 0.0697, 'valence': 0.551, 'tempo': 81.833, 'type': 'audio_features', 'id': '7G7tgVYORlDuVprcYHuFJh', 'uri': 'spotify:track:7G7tgVYORlDuVprcYHuFJh', 'track_href': 'https://api.spotify.com/v1/tracks/7G7tgVYORlDuVprcYHuFJh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7G7tgVYORlDuVprcYHuFJh', 'duration_ms': 236933, 'time_signature': 4}"
43,"{'danceability': 0.448, 'energy': 0.869, 'key': 4, 'loudness': -4.616, 'mode': 1, 'speechiness': 0.177, 'acousticness': 0.165, 'instrumentalness': 6.25e-05, 'liveness': 0.32, 'valence': 0.232, 'tempo': 184.042, 'type': 'audio_features', 'id': '1T0Kkq1Oio6nHVhenMQeDR', 'uri': 'spotify:track:1T0Kkq1Oio6nHVhenMQeDR', 'track_href': 'https://api.spotify.com/v1/tracks/1T0Kkq1Oio6nHVhenMQeDR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1T0Kkq1Oio6nHVhenMQeDR', 'duration_ms': 192720, 'time_signature': 4}"
44,"{'danceability': 0.749, 'energy': 0.703, 'key': 1, 'loudness': -6.639, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.127, 'instrumentalness': 0, 'liveness': 0.0775, 'valence': 0.644, 'tempo': 95.975, 'type': 'audio_features', 'id': '5Uym8nZf9WyDsxPuum3ntT', 'uri': 'spotify:track:5Uym8nZf9WyDsxPuum3ntT', 'track_href': 'https://api.spotify.com/v1/tracks/5Uym8nZf9WyDsxPuum3ntT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Uym8nZf9WyDsxPuum3ntT', 'duration_ms': 182623, 'time_signature': 4}"
45,"{'danceability': 0.747, 'energy': 0.68, 'key': 1, 'loudness': -6.187, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.0107, 'instrumentalness': 0.803, 'liveness': 0.0964, 'valence': 0.594, 'tempo': 93.804, 'type': 'audio_features', 'id': '5Nn2Dj7OQsGL6pgQ9iIzPp', 'uri': 'spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp', 'track_href': 'https://api.spotify.com/v1/tracks/5Nn2Dj7OQsGL6pgQ9iIzPp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Nn2Dj7OQsGL6pgQ9iIzPp', 'duration_ms': 317933, 'time_signature': 4}"
46,"{'danceability': 0.767, 'energy': 0.599, 'key': 10, 'loudness': -5.176, 'mode': 0, 'speechiness': 0.0404, 'acousticness': 0.00436, 'instrumentalness': 0.0381, 'liveness': 0.0714, 'valence': 0.788, 'tempo': 137.035, 'type': 'audio_features', 'id': '6uGQKWdjmKvgH1QdDCcM8N', 'uri': 'spotify:track:6uGQKWdjmKvgH1QdDCcM8N', 'track_href': 'https://api.spotify.com/v1/tracks/6uGQKWdjmKvgH1QdDCcM8N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6uGQKWdjmKvgH1QdDCcM8N', 'duration_ms': 171973, 'time_signature': 4}"
47,"{'danceability': 0.655, 'energy': 0.54, 'key': 9, 'loudness': -6.482, 'mode': 1, 'speechiness': 0.0516, 'acousticness': 0.268, 'instrumentalness': 0, 'liveness': 0.068, 'valence': 0.43, 'tempo': 79.983, 'type': 'audio_features', 'id': '4NjR63Up0uMkQBlKvlZd1l', 'uri': 'spotify:track:4NjR63Up0uMkQBlKvlZd1l', 'track_href': 'https://api.spotify.com/v1/tracks/4NjR63Up0uMkQBlKvlZd1l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4NjR63Up0uMkQBlKvlZd1l', 'duration_ms': 207507, 'time_signature': 4}"
48,"{'danceability': 0.561, 'energy': 0.0859, 'key': 6, 'loudness': -11.478, 'mode': 0, 'speechiness': 0.0511, 'acousticness': 0.94, 'instrumentalness': 0, 'liveness': 0.16, 'valence': 0.117, 'tempo': 78.372, 'type': 'audio_features', 'id': '1J3w85cS3FEmoSKRu2dQJ8', 'uri': 'spotify:track:1J3w85cS3FEmoSKRu2dQJ8', 'track_href': 'https://api.spotify.com/v1/tracks/1J3w85cS3FEmoSKRu2dQJ8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1J3w85cS3FEmoSKRu2dQJ8', 'duration_ms': 139467, 'time_signature': 4}"
49,"{'danceability': 0.913, 'energy': 0.603, 'key': 8, 'loudness': -4.892, 'mode': 1, 'speechiness': 0.226, 'acousticness': 0.0272, 'instrumentalness': 0.000503, 'liveness': 0.167, 'valence': 0.497, 'tempo': 123.061, 'type': 'audio_features', 'id': '3GZD6HmiNUhxXYf8Gch723', 'uri': 'spotify:track:3GZD6HmiNUhxXYf8Gch723', 'track_href': 'https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723', 'duration_ms': 234093, 'time_signature': 4}"
50,"{'danceability': 0.382, 'energy': 0.589, 'key': 6, 'loudness': -5.991, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.484, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.511, 'tempo': 65.627, 'type': 'audio_features', 'id': '4lXHVnmDO5u62tGJIpTafd', 'uri': 'spotify:track:4lXHVnmDO5u62tGJIpTafd', 'track_href': 'https://api.spotify.com/v1/tracks/4lXHVnmDO5u62tGJIpTafd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4lXHVnmDO5u62tGJIpTafd', 'duration_ms': 231574, 'time_signature': 4}"
51,"{'danceability': 0.525, 'energy': 0.9, 'key': 2, 'loudness': -6.815, 'mode': 1, 'speechiness': 0.0545, 'acousticness': 0.00539, 'instrumentalness': 4.09e-05, 'liveness': 0.14, 'valence': 0.883, 'tempo': 151.274, 'type': 'audio_features', 'id': '7lSDCrF11sdTVfjbAQVZE8', 'uri': 'spotify:track:7lSDCrF11sdTVfjbAQVZE8', 'track_href': 'https://api.spotify.com/v1/tracks/7lSDCrF11sdTVfjbAQVZE8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lSDCrF11sdTVfjbAQVZE8', 'duration_ms': 163240, 'time_signature': 4}"
52,"{'danceability': 0.564, 'energy': 0.827, 'key': 7, 'loudness': -7.089, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.0904, 'instrumentalness': 3.73e-06, 'liveness': 0.127, 'valence': 0.912, 'tempo': 89.847, 'type': 'audio_features', 'id': '5hhF25sWnZvXhimOHLjTRE', 'uri': 'spotify:track:5hhF25sWnZvXhimOHLjTRE', 'track_href': 'https://api.spotify.com/v1/tracks/5hhF25sWnZvXhimOHLjTRE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hhF25sWnZvXhimOHLjTRE', 'duration_ms': 139347, 'time_signature': 4}"
53,"{'danceability': 0.34, 'energy': 0.472, 'key': 9, 'loudness': -12.939, 'mode': 1, 'speechiness': 0.0473, 'acousticness': 0.275, 'instrumentalness': 0, 'liveness': 0.0843, 'valence': 0.533, 'tempo': 78.086, 'type': 'audio_features', 'id': '5G7uLHtoEW140QOcBpJlfz', 'uri': 'spotify:track:5G7uLHtoEW140QOcBpJlfz', 'track_href': 'https://api.spotify.com/v1/tracks/5G7uLHtoEW140QOcBpJlfz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5G7uLHtoEW140QOcBpJlfz', 'duration_ms': 283973, 'time_signature': 4}"
54,"{'danceability': 0.536, 'energy': 0.854, 'key': 7, 'loudness': -6.907, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.0129, 'instrumentalness': 0.743, 'liveness': 0.156, 'valence': 0.905, 'tempo': 122.733, 'type': 'audio_features', 'id': '0SMkzFGJOBFDI9KfYD55L0', 'uri': 'spotify:track:0SMkzFGJOBFDI9KfYD55L0', 'track_href': 'https://api.spotify.com/v1/tracks/0SMkzFGJOBFDI9KfYD55L0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SMkzFGJOBFDI9KfYD55L0', 'duration_ms': 162160, 'time_signature': 4}"
55,"{'danceability': 0.551, 'energy': 0.801, 'key': 6, 'loudness': -5.069, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.013, 'instrumentalness': 6.03e-06, 'liveness': 0.265, 'valence': 0.625, 'tempo': 128.027, 'type': 'audio_features', 'id': '1mMLMZYXkMueg65jRRWG1l', 'uri': 'spotify:track:1mMLMZYXkMueg65jRRWG1l', 'track_href': 'https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l', 'duration_ms': 240760, 'time_signature': 4}"
56,"{'danceability': 0.779, 'energy': 0.64, 'key': 7, 'loudness': -8.415, 'mode': 1, 'speechiness': 0.159, 'acousticness': 0.000155, 'instrumentalness': 0.00077, 'liveness': 0.101, 'valence': 0.498, 'tempo': 99.019, 'type': 'audio_features', 'id': '4TsmezEQVSZNNPv5RJ65Ov', 'uri': 'spotify:track:4TsmezEQVSZNNPv5RJ65Ov', 'track_href': 'https://api.spotify.com/v1/tracks/4TsmezEQVSZNNPv5RJ65Ov', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4TsmezEQVSZNNPv5RJ65Ov', 'duration_ms': 246960, 'time_signature': 4}"
57,"{'danceability': 0.623, 'energy': 0.938, 'key': 0, 'loudness': -4.161, 'mode': 1, 'speechiness': 0.123, 'acousticness': 0.00296, 'instrumentalness': 0.000852, 'liveness': 0.48, 'valence': 0.308, 'tempo': 112.022, 'type': 'audio_features', 'id': '3pYKJaLiixRcDFfcNhxZKK', 'uri': 'spotify:track:3pYKJaLiixRcDFfcNhxZKK', 'track_href': 'https://api.spotify.com/v1/tracks/3pYKJaLiixRcDFfcNhxZKK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3pYKJaLiixRcDFfcNhxZKK', 'duration_ms': 165960, 'time_signature': 4}"
58,"{'danceability': 0.346, 'energy': 0.768, 'key': 9, 'loudness': -5.695, 'mode': 1, 'speechiness': 0.0377, 'acousticness': 0.00603, 'instrumentalness': 0.38, 'liveness': 0.0244, 'valence': 0.532, 'tempo': 169.492, 'type': 'audio_features', 'id': '0NWPxcsf5vdjdiFUI8NgkP', 'uri': 'spotify:track:0NWPxcsf5vdjdiFUI8NgkP', 'track_href': 'https://api.spotify.com/v1/tracks/0NWPxcsf5vdjdiFUI8NgkP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0NWPxcsf5vdjdiFUI8NgkP', 'duration_ms': 210160, 'time_signature': 4}"
59,"{'danceability': 0.661, 'energy': 0.937, 'key': 10, 'loudness': -3.83, 'mode': 0, 'speechiness': 0.0744, 'acousticness': 0.000967, 'instrumentalness': 1.59e-05, 'liveness': 0.355, 'valence': 0.535, 'tempo': 131.001, 'type': 'audio_features', 'id': '0QkWikH5Z3U0f79T9iuF6c', 'uri': 'spotify:track:0QkWikH5Z3U0f79T9iuF6c', 'track_href': 'https://api.spotify.com/v1/tracks/0QkWikH5Z3U0f79T9iuF6c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QkWikH5Z3U0f79T9iuF6c', 'duration_ms': 249067, 'time_signature': 4}"
60,"{'danceability': 0.648, 'energy': 0.833, 'key': 0, 'loudness': -5.321, 'mode': 1, 'speechiness': 0.0327, 'acousticness': 0.00583, 'instrumentalness': 0.000787, 'liveness': 0.178, 'valence': 0.64, 'tempo': 119.935, 'type': 'audio_features', 'id': '5yDX0yhtLyf0zEXEqXqyAa', 'uri': 'spotify:track:5yDX0yhtLyf0zEXEqXqyAa', 'track_href': 'https://api.spotify.com/v1/tracks/5yDX0yhtLyf0zEXEqXqyAa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5yDX0yhtLyf0zEXEqXqyAa', 'duration_ms': 164187, 'time_signature': 4}"
61,"{'danceability': 0.571, 'energy': 0.934, 'key': 3, 'loudness': -4.22, 'mode': 0, 'speechiness': 0.0531, 'acousticness': 0.00316, 'instrumentalness': 6.21e-06, 'liveness': 0.197, 'valence': 0.409, 'tempo': 132.594, 'type': 'audio_features', 'id': '4CWhc9FaMMfBTt4ANjfbOf', 'uri': 'spotify:track:4CWhc9FaMMfBTt4ANjfbOf', 'track_href': 'https://api.spotify.com/v1/tracks/4CWhc9FaMMfBTt4ANjfbOf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4CWhc9FaMMfBTt4ANjfbOf', 'duration_ms': 221720, 'time_signature': 4}"
62,"{'danceability': 0.905, 'energy': 0.647, 'key': 10, 'loudness': -5.065, 'mode': 0, 'speechiness': 0.107, 'acousticness': 0.0187, 'instrumentalness': 0, 'liveness': 0.282, 'valence': 0.367, 'tempo': 130.97, 'type': 'audio_features', 'id': '2r6OAV3WsYtXuXjvJ1lIDi', 'uri': 'spotify:track:2r6OAV3WsYtXuXjvJ1lIDi', 'track_href': 'https://api.spotify.com/v1/tracks/2r6OAV3WsYtXuXjvJ1lIDi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2r6OAV3WsYtXuXjvJ1lIDi', 'duration_ms': 190534, 'time_signature': 4}"
63,"{'danceability': 0.463, 'energy': 0.738, 'key': 4, 'loudness': -4.443, 'mode': 0, 'speechiness': 0.0444, 'acousticness': 0.0119, 'instrumentalness': 0, 'liveness': 0.135, 'valence': 0.417, 'tempo': 73.809, 'type': 'audio_features', 'id': '1ZOHZ37YIHnVn8dEpNIEhp', 'uri': 'spotify:track:1ZOHZ37YIHnVn8dEpNIEhp', 'track_href': 'https://api.spotify.com/v1/tracks/1ZOHZ37YIHnVn8dEpNIEhp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ZOHZ37YIHnVn8dEpNIEhp', 'duration_ms': 167947, 'time_signature': 4}"
64,"{'danceability': 0.252, 'energy': 0.886, 'key': 9, 'loudness': -4.678, 'mode': 0, 'speechiness': 0.0714, 'acousticness': 2.93e-05, 'instrumentalness': 5.33e-06, 'liveness': 0.256, 'valence': 0.498, 'tempo': 161.939, 'type': 'audio_features', 'id': '5YHhxbtAAkOiIXqNBfYjZU', 'uri': 'spotify:track:5YHhxbtAAkOiIXqNBfYjZU', 'track_href': 'https://api.spotify.com/v1/tracks/5YHhxbtAAkOiIXqNBfYjZU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5YHhxbtAAkOiIXqNBfYjZU', 'duration_ms': 210560, 'time_signature': 4}"
65,"{'danceability': 0.171, 'energy': 0.753, 'key': 0, 'loudness': -4.871, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.0141, 'instrumentalness': 0.0481, 'liveness': 0.11, 'valence': 0.284, 'tempo': 77.76, 'type': 'audio_features', 'id': '2ZBYcZBEjn3Mih9ItJx6jT', 'uri': 'spotify:track:2ZBYcZBEjn3Mih9ItJx6jT', 'track_href': 'https://api.spotify.com/v1/tracks/2ZBYcZBEjn3Mih9ItJx6jT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ZBYcZBEjn3Mih9ItJx6jT', 'duration_ms': 259373, 'time_signature': 4}"
66,"{'danceability': 0.315, 'energy': 0.97, 'key': 7, 'loudness': -5.424, 'mode': 1, 'speechiness': 0.483, 'acousticness': 0.0234, 'instrumentalness': 2.03e-06, 'liveness': 0.122, 'valence': 0.37, 'tempo': 149.749, 'type': 'audio_features', 'id': '1hR0fIFK2qRG3f3RF70pb7', 'uri': 'spotify:track:1hR0fIFK2qRG3f3RF70pb7', 'track_href': 'https://api.spotify.com/v1/tracks/1hR0fIFK2qRG3f3RF70pb7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1hR0fIFK2qRG3f3RF70pb7', 'duration_ms': 298893, 'time_signature': 4}"
67,"{'danceability': 0.651, 'energy': 0.766, 'key': 0, 'loudness': -9.935, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.206, 'instrumentalness': 0.00103, 'liveness': 0.362, 'valence': 0.949, 'tempo': 116.74, 'type': 'audio_features', 'id': '17S4XrLvF5jlGvGCJHgF51', 'uri': 'spotify:track:17S4XrLvF5jlGvGCJHgF51', 'track_href': 'https://api.spotify.com/v1/tracks/17S4XrLvF5jlGvGCJHgF51', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/17S4XrLvF5jlGvGCJHgF51', 'duration_ms': 242107, 'time_signature': 4}"
68,"{'danceability': 0.519, 'energy': 0.961, 'key': 2, 'loudness': -3.214, 'mode': 0, 'speechiness': 0.0642, 'acousticness': 0.000207, 'instrumentalness': 0.000419, 'liveness': 0.195, 'valence': 0.344, 'tempo': 93.466, 'type': 'audio_features', 'id': '24z528iI9kZu5LbkLainjI', 'uri': 'spotify:track:24z528iI9kZu5LbkLainjI', 'track_href': 'https://api.spotify.com/v1/tracks/24z528iI9kZu5LbkLainjI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/24z528iI9kZu5LbkLainjI', 'duration_ms': 234467, 'time_signature': 4}"
69,"{'danceability': 0.888, 'energy': 0.815, 'key': 11, 'loudness': -4.909, 'mode': 0, 'speechiness': 0.0404, 'acousticness': 0.23, 'instrumentalness': 0.000424, 'liveness': 0.127, 'valence': 0.961, 'tempo': 127.273, 'type': 'audio_features', 'id': '5lA3pwMkBdd24StM90QrNR', 'uri': 'spotify:track:5lA3pwMkBdd24StM90QrNR', 'track_href': 'https://api.spotify.com/v1/tracks/5lA3pwMkBdd24StM90QrNR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5lA3pwMkBdd24StM90QrNR', 'duration_ms': 238733, 'time_signature': 4}"
70,"{'danceability': 0.722, 'energy': 0.654, 'key': 0, 'loudness': -8.107, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.265, 'instrumentalness': 0.00392, 'liveness': 0.15, 'valence': 0.904, 'tempo': 131.962, 'type': 'audio_features', 'id': '3iiObSfkcBsETljmSB4Hcs', 'uri': 'spotify:track:3iiObSfkcBsETljmSB4Hcs', 'track_href': 'https://api.spotify.com/v1/tracks/3iiObSfkcBsETljmSB4Hcs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3iiObSfkcBsETljmSB4Hcs', 'duration_ms': 175200, 'time_signature': 4}"
71,"{'danceability': 0.438, 'energy': 0.572, 'key': 0, 'loudness': -5.542, 'mode': 1, 'speechiness': 0.0407, 'acousticness': 0.331, 'instrumentalness': 0, 'liveness': 0.0805, 'valence': 0.84, 'tempo': 202.414, 'type': 'audio_features', 'id': '4vHVfwVi2CEc4r7P1Pr9iu', 'uri': 'spotify:track:4vHVfwVi2CEc4r7P1Pr9iu', 'track_href': 'https://api.spotify.com/v1/tracks/4vHVfwVi2CEc4r7P1Pr9iu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vHVfwVi2CEc4r7P1Pr9iu', 'duration_ms': 196520, 'time_signature': 4}"
72,"{'danceability': 0.712, 'energy': 0.676, 'key': 5, 'loudness': -5.965, 'mode': 1, 'speechiness': 0.184, 'acousticness': 0.076, 'instrumentalness': 0, 'liveness': 0.0669, 'valence': 0.648, 'tempo': 106.156, 'type': 'audio_features', 'id': '44gz3bzhdcGUFgA5oc1wSu', 'uri': 'spotify:track:44gz3bzhdcGUFgA5oc1wSu', 'track_href': 'https://api.spotify.com/v1/tracks/44gz3bzhdcGUFgA5oc1wSu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44gz3bzhdcGUFgA5oc1wSu', 'duration_ms': 213597, 'time_signature': 4}"
73,"{'danceability': 0.874, 'energy': 0.692, 'key': 5, 'loudness': -5.28, 'mode': 0, 'speechiness': 0.0431, 'acousticness': 0.0412, 'instrumentalness': 7.24e-05, 'liveness': 0.324, 'valence': 0.937, 'tempo': 116.017, 'type': 'audio_features', 'id': '55h7vJchibLdUkxdlX3fK7', 'uri': 'spotify:track:55h7vJchibLdUkxdlX3fK7', 'track_href': 'https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7', 'duration_ms': 178560, 'time_signature': 4}"
74,"{'danceability': 0.579, 'energy': 0.904, 'key': 5, 'loudness': -2.729, 'mode': 1, 'speechiness': 0.0618, 'acousticness': 0.193, 'instrumentalness': 0, 'liveness': 0.064, 'valence': 0.681, 'tempo': 82.014, 'type': 'audio_features', 'id': '1rqqCSm0Qe4I9rUvWncaom', 'uri': 'spotify:track:1rqqCSm0Qe4I9rUvWncaom', 'track_href': 'https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom', 'duration_ms': 190947, 'time_signature': 4}"
75,"{'danceability': 0.54, 'energy': 0.977, 'key': 1, 'loudness': -3.409, 'mode': 1, 'speechiness': 0.0878, 'acousticness': 2.55e-05, 'instrumentalness': 0.0553, 'liveness': 0.0533, 'valence': 0.211, 'tempo': 106.911, 'type': 'audio_features', 'id': '5hkgrWxkobGtg30I7DsfVu', 'uri': 'spotify:track:5hkgrWxkobGtg30I7DsfVu', 'track_href': 'https://api.spotify.com/v1/tracks/5hkgrWxkobGtg30I7DsfVu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hkgrWxkobGtg30I7DsfVu', 'duration_ms': 212040, 'time_signature': 4}"
76,"{'danceability': 0.73, 'energy': 0.487, 'key': 4, 'loudness': -10.991, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.258, 'instrumentalness': 0.01, 'liveness': 0.0852, 'valence': 0.731, 'tempo': 114.965, 'type': 'audio_features', 'id': '254bXAqt3zP6P50BdQvEsq', 'uri': 'spotify:track:254bXAqt3zP6P50BdQvEsq', 'track_href': 'https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq', 'duration_ms': 226653, 'time_signature': 4}"
77,"{'danceability': 0.436, 'energy': 0.942, 'key': 9, 'loudness': -2.206, 'mode': 1, 'speechiness': 0.0496, 'acousticness': 9.56e-05, 'instrumentalness': 0.000438, 'liveness': 0.209, 'valence': 0.5, 'tempo': 164.975, 'type': 'audio_features', 'id': '1a9YW7fATU351ok4zWjU7a', 'uri': 'spotify:track:1a9YW7fATU351ok4zWjU7a', 'track_href': 'https://api.spotify.com/v1/tracks/1a9YW7fATU351ok4zWjU7a', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1a9YW7fATU351ok4zWjU7a', 'duration_ms': 253947, 'time_signature': 4}"
78,"{'danceability': 0.699, 'energy': 0.699, 'key': 8, 'loudness': -5.564, 'mode': 0, 'speechiness': 0.0737, 'acousticness': 0.358, 'instrumentalness': 0, 'liveness': 0.0912, 'valence': 0.611, 'tempo': 94.977, 'type': 'audio_features', 'id': '5k3VjTwIsOjQ2woGz3Yx71', 'uri': 'spotify:track:5k3VjTwIsOjQ2woGz3Yx71', 'track_href': 'https://api.spotify.com/v1/tracks/5k3VjTwIsOjQ2woGz3Yx71', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5k3VjTwIsOjQ2woGz3Yx71', 'duration_ms': 206413, 'time_signature': 4}"
79,"{'danceability': 0.631, 'energy': 0.709, 'key': 2, 'loudness': -4.666, 'mode': 1, 'speechiness': 0.0505, 'acousticness': 0.0963, 'instrumentalness': 0, 'liveness': 0.376, 'valence': 0.2, 'tempo': 84.504, 'type': 'audio_features', 'id': '0WZFN4E8HrmGUU0EMyKQ8c', 'uri': 'spotify:track:0WZFN4E8HrmGUU0EMyKQ8c', 'track_href': 'https://api.spotify.com/v1/tracks/0WZFN4E8HrmGUU0EMyKQ8c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WZFN4E8HrmGUU0EMyKQ8c', 'duration_ms': 176443, 'time_signature': 4}"
80,"{'danceability': 0.746, 'energy': 0.691, 'key': 4, 'loudness': -7.533, 'mode': 0, 'speechiness': 0.0403, 'acousticness': 0.184, 'instrumentalness': 0.0259, 'liveness': 0.205, 'valence': 0.888, 'tempo': 119.982, 'type': 'audio_features', 'id': '3yQFmN8A5S8Kf1nUJuvb01', 'uri': 'spotify:track:3yQFmN8A5S8Kf1nUJuvb01', 'track_href': 'https://api.spotify.com/v1/tracks/3yQFmN8A5S8Kf1nUJuvb01', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3yQFmN8A5S8Kf1nUJuvb01', 'duration_ms': 258453, 'time_signature': 4}"
81,"{'danceability': 0.694, 'energy': 0.918, 'key': 8, 'loudness': -4.31, 'mode': 1, 'speechiness': 0.245, 'acousticness': 0.185, 'instrumentalness': 0, 'liveness': 0.141, 'valence': 0.795, 'tempo': 154.103, 'type': 'audio_features', 'id': '4BohSFyV8gdPNzpOT3nTtu', 'uri': 'spotify:track:4BohSFyV8gdPNzpOT3nTtu', 'track_href': 'https://api.spotify.com/v1/tracks/4BohSFyV8gdPNzpOT3nTtu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4BohSFyV8gdPNzpOT3nTtu', 'duration_ms': 155973, 'time_signature': 4}"
82,"{'danceability': 0.582, 'energy': 0.942, 'key': 2, 'loudness': -3.098, 'mode': 1, 'speechiness': 0.0637, 'acousticness': 0.000371, 'instrumentalness': 0.004, 'liveness': 0.078, 'valence': 0.357, 'tempo': 103.057, 'type': 'audio_features', 'id': '6TTBhxnb9NYT7cz6aLOkBy', 'uri': 'spotify:track:6TTBhxnb9NYT7cz6aLOkBy', 'track_href': 'https://api.spotify.com/v1/tracks/6TTBhxnb9NYT7cz6aLOkBy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6TTBhxnb9NYT7cz6aLOkBy', 'duration_ms': 170893, 'time_signature': 4}"
83,"{'danceability': 0.438, 'energy': 0.905, 'key': 9, 'loudness': -6.161, 'mode': 1, 'speechiness': 0.0419, 'acousticness': 9.44e-06, 'instrumentalness': 5.4e-05, 'liveness': 0.363, 'valence': 0.723, 'tempo': 134.163, 'type': 'audio_features', 'id': '2V4Bc2I962j7acQj1N0PiQ', 'uri': 'spotify:track:2V4Bc2I962j7acQj1N0PiQ', 'track_href': 'https://api.spotify.com/v1/tracks/2V4Bc2I962j7acQj1N0PiQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2V4Bc2I962j7acQj1N0PiQ', 'duration_ms': 162667, 'time_signature': 4}"
84,"{'danceability': 0.652, 'energy': 0.474, 'key': 5, 'loudness': -14.436, 'mode': 1, 'speechiness': 0.204, 'acousticness': 0.332, 'instrumentalness': 1.03e-06, 'liveness': 0.0993, 'valence': 0.88, 'tempo': 176.966, 'type': 'audio_features', 'id': '0s4jINkD2RoxH96zpy2i0D', 'uri': 'spotify:track:0s4jINkD2RoxH96zpy2i0D', 'track_href': 'https://api.spotify.com/v1/tracks/0s4jINkD2RoxH96zpy2i0D', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0s4jINkD2RoxH96zpy2i0D', 'duration_ms': 219893, 'time_signature': 4}"
